name,full_name,age,club,club_id,league,league_id,height_ft,height_ft_decimal,weight_kg,position,secondary_positions,nationality,preferred_foot,potential,pace,shooting,passing,dribbling,defending,physicality,is_goalkeeper,schema
D. Jebbison,Daniel Jebbison,21,Preston North End,1801,Championship,14,"6'3""",6.23,78,ST,,Canada,Right,75,74.3,64.4,55,62.1,62.8,77.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Lipani,Luca Lipani,20,Sassuolo,111974,Serie A,31,"6'1""",6.07,65,CM,CDM,Italy,Right,77,54,51,68.3,66.5,64,60,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Zvonarek,Lovro Zvonarek,20,Grasshopper Club Zürich,322,Super League,189,"5'11""",5.91,70,CAM,CM,Croatia,Right,77,68.9,58.1,68.3,65.5,32.2,53.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Isaque,Isaque,18,Shakhtar Donetsk,101059,Premier League,332,"5'8""",5.64,65,CAM,CM,Brazil,Right,77,69.1,55.2,69.9,65.3,30.4,51.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Watson,Nicólas Watson,27,Club Atlético San Martín,111713,Liga Profesional de Fútbol,353,"5'9""",5.74,78,CDM,"CM, LM",Argentina,Right,68,62.7,59.1,64.2,60.1,64.5,64.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Kostorz,Kacper Kostorz,25,Pogoń Szczecin,110746,Ekstraklasa,66,"6'3""",6.27,79,ST,,Poland,Right,68,73.3,66,60,62,61.9,59,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
I. Orlikowski,Igor Orlikowski,19,Zagłębie Lubin,110749,Ekstraklasa,66,"5'11""",5.91,80,CB,,Poland,Right,76,64.8,34.5,55,61,64.6,68.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Xabi Huarte,Xabi Huarte,24,CD Tondela,112516,Primeira Liga,308,"5'8""",5.64,66,CAM,CM,Spain,Right,72,65.1,59.5,66.2,65.7,33.9,43.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Singh,Gurmeet Singh,25,NorthEast United,113040,Super League,2149,"6'0""",6,80,GK,,India,Right,67,64,63,66,64.3,29,66,TRUE,DIV|HAN|KIC|REF|SPD|POS
I. Harkes,Ian Harkes,30,San Jose Earthquakes,111928,Major League Soccer,39,"5'11""",5.91,73,CM,"CDM, CB",United States,Right,65,66,57.8,65.4,63.1,61,84,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Kun,Dominik Kun,32,Wisła Płock,1569,Ekstraklasa,66,"5'8""",5.64,68,CM,"CDM, CAM",Poland,Right,65,73,57.7,64,65.1,65.5,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Lukačević,Leonardo Lukačević,26,SC Rheindorf Altach,15009,Bundesliga,80,"5'10""",5.84,70,LM,LB,Austria,Left,66,69.6,55.7,65.4,63.2,60.2,76.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Kóša,Sebastián Kóša,21,Real Zaragoza,244,La Liga 2,54,"6'3""",6.27,78,CB,,Slovakia,Right,78,66.8,24,68,55.8,65.2,68.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Blandi,Nicolás Blandi,35,Barracas Central,113044,Liga Profesional de Fútbol,353,"5'11""",5.94,77,ST,,Argentina,Right,65,50.5,67.7,62,60.5,74.7,72,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Helguera,Thiago Helguera,19,CD Mirandés,110069,La Liga 2,54,"5'10""",5.87,70,CDM,CM,Uruguay,Right,79,70,49.8,65.5,63.7,62,65.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Akçiçek,Yusuf Akçiçek,19,Al Hilal,605,Pro League,350,"6'3""",6.23,83,CB,,Türkiye,Left,81,65.7,22,65,56.9,63.3,73.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Saint-Ruf,Nicolas Saint-Ruf,32,AS Nancy Lorraine,1823,Ligue 2,17,"6'2""",6.14,85,CB,,France,Right,65,69.7,23.3,58,59.9,62.6,75.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Felix,Joel Felix,27,DSC Arminia Bielefeld,159,2. Bundesliga,20,"6'3""",6.23,80,CB,,Denmark,Left,67,50.8,37.9,61,56.2,65.4,69.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Lorran,Lorran,18,Pisa,110738,Serie A,31,"5'11""",5.91,74,CAM,CM,Brazil,Left,80,68.5,60.4,61.8,68.7,32.8,58.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Kim Ryun Seong,Kim Ryun Seong,23,Jeju United FC,1478,K League 1,83,"5'10""",5.87,70,LB,"CDM, LM",Korea Republic,Left,74,72.6,38.2,62.4,63.5,58.8,71,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Wójcik,Filip Wójcik,28,Motor Lublin,111097,Ekstraklasa,66,"5'9""",5.71,65,RB,RM,Poland,Right,65,75.8,30.5,65,62.4,58.1,65,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Arturia,Marcos Arturia,27,CA Banfield,110404,Liga Profesional de Fútbol,353,"5'10""",5.84,76,ST,,Argentina,Right,65,64.5,64.3,65,65.3,65.9,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Fredricson,Tyler Fredricson,20,Manchester United,11,Premier League,13,"6'2""",6.17,81,CB,,England,Right,78,64.1,31.8,58,58.9,64.6,71,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Berglie,Fredrik Berglie,28,KFUM-Kameratene Oslo,131491,Eliteserien,41,"6'0""",6.04,77,CB,,Norway,Right,66,58.9,35.3,62,60,64.2,68.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Omeruo,Kenneth Omeruo,31,CFR Cluj,110816,Liga I,330,"6'0""",6.04,84,CB,,Nigeria,Right,65,64.6,33.9,59,60,63.9,72.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Martinez,Julián Martinez,21,Alverca,717,Primeira Liga,308,"6'1""",6.07,74,CB,"LB, LM",Honduras,Left,74,63.9,30,59,67.5,66.6,58.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Shi Ke,Shi Ke,32,Shandong Taishan,111724,Super League,2012,"6'0""",5.97,81,CB,,China PR,Right,65,66.2,28.8,59,59.3,64.3,73.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Lowry,Alexander Lowry,22,Wycombe Wanderers,1933,League One,60,"5'11""",5.94,72,CAM,"CM, LM",Scotland,Right,76,65,61.6,66.6,66.4,32,54.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Harenbrock,Cedric Harenbrock,27,FC Hansa Rostock,27,3. Liga,2076,"5'11""",5.91,76,CAM,CM,Germany,Left,66,71,62.8,64,66.9,37.4,54,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Cervera,Tobías Cervera,22,CA Aldosivi,111707,Liga Profesional de Fútbol,353,"5'11""",5.91,79,ST,"LW, LM",Syria,Left,74,75.1,65.3,58,64.3,54.9,69.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Bamert,Jan Bamert,27,FC Thun,1715,Super League,189,"6'0""",6,76,CB,RB,Switzerland,Right,68,52.3,38.3,62,58.9,65.4,67.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Piñeiro,Gonzalo Piñeiro,24,Tigre,111715,Liga Profesional de Fútbol,353,"5'10""",5.81,72,CAM,CM,Argentina,Right,68,56.9,65,65.4,66.7,59.6,66.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Collar,William Collar,28,Milton Keynes Dons,1798,League Two,61,"5'11""",5.94,76,CM,"CAM, RW",England,Right,65,68,62.6,64.1,64,60.5,81,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Borgmann,Axel Borgmann,30,FC Energie Cottbus,162,3. Liga,2076,"5'10""",5.84,74,CM,"LB, LM",Germany,Left,65,74,56.1,64.8,65.4,60.5,83,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Sandoval,Tomás Sandoval,26,Atlético Grau,114598,Liga 1,2020,"6'1""",6.07,71,ST,,Argentina,Right,68,65.5,66.1,56,62.8,64.8,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Goode,Charles Goode,29,Stevenage,361,League One,60,"6'5""",6.43,75,CB,,England,Right,65,53.8,37.4,57,56.6,64,74.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Bayır,Furkan Bayır,25,Göztepe SK,101026,Süper Lig,68,"6'2""",6.17,80,CB,,Türkiye,Right,72,61.9,31.6,58,65.1,64.2,71.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Aimson,William Aimson,31,Wigan Athletic,1917,League One,60,"6'1""",6.07,70,CB,,England,Right,65,53.9,25,60,57.5,64.3,73.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. van der Werff,Jasper van der Werff,26,Universitatea Cluj,110751,Liga I,330,"6'2""",6.17,80,CB,,Switzerland,Right,70,54.4,35.5,62,60.9,64.8,69.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Owusu,Solomon Owusu,29,Fredrikstad FK,2041,Eliteserien,41,"5'9""",5.77,75,CB,"CM, CDM",Ghana,Right,65,79.3,47.4,63,61,63.1,69.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Wieckhoff,Jannes Wieckhoff,24,Heracles Almelo,100634,Eredivisie,10,"6'2""",6.17,75,RB,RM,Germany,Right,69,77.8,38.8,62.7,62.4,57.7,72,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Martí Vilà,Martí Vilà,26,FC Andorra,114554,La Liga 2,54,"5'5""",5.45,62,LB,"CB, LM",Spain,Left,68,65.2,46.2,63,63,60.7,73.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Marchi,Leonardo Marchi,28,Central Cordoba SdE,112965,Liga Profesional de Fútbol,353,"5'11""",5.91,75,LB,LM,Argentina,Left,65,75.6,44,61.5,58.6,59.5,70.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Jeong Chi In,Jeong Chi In,27,Daegu FC,2056,K League 1,83,"6'0""",5.97,71,LW,"ST, LM",Korea Republic,Left,65,81,62.5,57,64.9,27,71.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Lokilo,Jason Lokilo,26,Piast Gliwice,111086,Ekstraklasa,66,"5'9""",5.74,65,RW,"RM, LW",Congo DR,Left,65,79.8,56.5,64,65.5,30,51.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Ortega,Thomas Ortega,24,Independiente Rivadavia,111020,Liga Profesional de Fútbol,353,"5'10""",5.87,75,LB,"CM, LM",Argentina,Left,70,71.4,40.8,58.2,63.3,63.1,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Lee Tae Hee,Lee Tae Hee,33,FC Anyang,112555,K League 1,83,"5'11""",5.94,66,RB,RM,Korea Republic,Right,65,73.4,37.2,60.3,58.5,62.4,70,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Selvi,Selvi,20,UD Almería,1861,La Liga 2,54,"6'2""",6.2,79,CDM,CM,Spain,Left,77,57.9,57.4,63.4,63.6,64.6,62.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Ceesay,Abdoulie Ceesay,21,FC St. Pauli,110329,Bundesliga,19,"6'1""",6.07,79,ST,,Gambia,Right,75,73.7,67.2,49,59.9,59.8,73.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Kim Min Duk,Kim Min Duk,28,Daejeon Citizen,980,K League 1,83,"6'0""",6,78,CB,RB,Korea Republic,Right,65,61.7,40.1,52,59.2,64.5,74.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Ceka,Jason Ceka,25,SV Elversberg,580,2. Bundesliga,20,"5'7""",5.54,63,RM,"CAM, RW",Germany,Left,68,69.7,60.4,62.3,65.9,33.7,65.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Tengstedt,Søren Tengstedt,25,Go Ahead Eagles,100632,Eredivisie,10,"6'2""",6.17,68,CAM,"RM, ST",Denmark,Left,70,70.3,62.9,61.7,68.3,19.2,64.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Torres,Marcelo Torres,27,Gimnasia y Esgrima La Plata,101084,Liga Profesional de Fútbol,353,"5'11""",5.91,70,ST,,Argentina,Right,66,74.1,63.6,58,64.4,66.8,70,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Compagnon,Mattia Compagnon,23,Venezia,205,Serie B,32,"5'7""",5.61,75,RM,"ST, RW",Italy,Left,70,68.8,62.6,59,68.4,27.8,64.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Luca Meirelles,Luca Meirelles,18,Shakhtar Donetsk,101059,Premier League,332,"6'1""",6.07,78,ST,LW,Brazil,Right,80,70.5,65.9,68,61.9,63.7,62,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Martinović,Dominik Martinović,28,SSV Ulm 1846,110176,3. Liga,2076,"5'10""",5.87,83,ST,CAM,Croatia,Right,65,74.3,65.1,63,65,56.7,69.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Al Mousa,Saad Al Mousa,22,Al Ittihad,607,Pro League,350,"6'0""",5.97,75,CB,,Saudi Arabia,Right,78,63.9,33.4,64,58.8,64.4,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Spagnoli,Alberto Spagnoli,30,Padova,110912,Serie B,32,"6'1""",6.1,80,ST,,Italy,Right,65,60.2,65,58,63.5,67.8,76,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Diong,Pape Diong,19,USL Dunkerque,111276,Ligue 2,17,"6'3""",6.23,77,CDM,CM,Senegal,Right,79,57.1,56.5,66.2,61.3,61.2,67.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Saucedo,Widen Saucedo,28,San Antonio Bulo Bulo,131795,División de Fútbol Profesional,2017,"5'9""",5.71,66,RB,"CB, RM",Bolivia,Right,65,72.8,31.7,61.3,61.7,63,61,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Ríos,Daniel Ríos,30,Vancouver Whitecaps FC,101112,Major League Soccer,39,"6'1""",6.07,84,ST,,Mexico,Left,65,48.3,70.8,59,59.8,68.7,75,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Heier,Melker Heier,24,IK Sirius,113458,Allsvenskan,56,"5'11""",5.94,75,CM,"RM, CAM",Sweden,Right,71,75,64.9,64.4,64.7,57,78,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Lees,Thomas Lees,34,Peterborough United,1938,League One,60,"6'1""",6.07,75,CB,,England,Right,65,50.9,37.8,62,61.1,65.5,69.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. El Jebari,Salim El Jebari,21,CD Mirandés,110069,La Liga 2,54,"5'10""",5.84,70,LW,"ST, LM",Morocco,Right,73,73.5,60.9,61.6,65.6,22,50.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Olsen,Aaron Olsen,24,Vålerenga Fotball,920,Eliteserien,41,"6'0""",6,78,CB,,Norway,Right,74,76.7,27.9,57,58,63.5,71.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Lee Jung Taek,Lee Jung Taek,27,Gimcheon Sangmu FC,2055,K League 1,83,"6'0""",6.04,76,CB,"RB, LB, RM",Korea Republic,Right,68,86.7,29.5,55,57.5,63,73.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. De Santis,Jeriel De Santis,23,Caracas FC,110989,Primera Division,2019,"6'3""",6.23,83,ST,,Venezuela,Right,74,64.2,66.6,52,60.9,64.8,76.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Gamero,Yimy Gamero,23,Cienciano,111011,Liga 1,2020,"5'9""",5.77,72,CDM,"CM, RB",Peru,Right,72,57.5,48.8,63.6,63.3,65.9,63.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Camara,Dawda Camara,22,Cádiz CF,1968,La Liga 2,54,"6'2""",6.17,78,ST,,Mauritania,Right,73,72.5,63.3,59,59.8,73.7,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Ö. Beyaz,Ömer Beyaz,21,Medipol Başakşehir FK,101014,Süper Lig,68,"5'7""",5.61,65,CAM,"CM, RM, ST",Türkiye,Left,76,65,56.5,66,69.9,40.6,37.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Olowu,Joseph Olowu,25,Stockport County,1931,League One,60,"6'0""",6.04,75,CB,,England,Right,68,78.1,24.9,54,58.3,63.9,72.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Vega,Gabriel Vega,23,CA Banfield,110404,Liga Profesional de Fútbol,353,"6'1""",6.1,75,CM,LM,Argentina,Right,72,72,53.7,68.2,68.3,48.8,70,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Jurić,Deni Jurić,27,Wisła Płock,1569,Ekstraklasa,66,"6'2""",6.17,75,ST,,Australia,Right,65,70.2,66.5,59,58.1,66.8,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
O. Zandén,Oliver Zandén,23,IF Brommapojkarna,111705,Allsvenskan,56,"6'0""",6,73,LB,LM,Sweden,Left,72,71.3,43,63.2,57.5,62.6,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Enol Rodríguez,Enol Rodríguez,23,SD Huesca,110839,La Liga 2,54,"6'1""",6.1,80,ST,LM,Spain,Right,72,64.1,65.2,59,61.9,68.7,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Satrústegui,Satrústegui,34,Cultural Leonesa,15012,La Liga 2,54,"6'2""",6.14,77,CB,LB,Spain,Left,65,68.9,42.4,63,58.4,63.3,74.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Mutombo,Jonathan Mutombo,22,Gil Vicente FC,1888,Primeira Liga,308,"6'3""",6.23,76,RB,"LB, RM",France,Right,74,71,37.8,58.7,64.8,62.5,62,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Víctor Muñoz,Víctor Muñoz,21,CA Osasuna,479,La Liga,53,"5'8""",5.68,70,LW,"CAM, LM",Spain,Right,77,72.1,62.4,62.5,65.2,21,40.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Gustavo Nunes,Gustavo Nunes,19,Brentford,1925,Premier League,13,"5'8""",5.68,65,LM,"RM, LW",Brazil,Right,81,81.7,60.6,58.8,65.5,40,59.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Prica,Tim Prica,23,IFK Norrköping,702,Allsvenskan,56,"6'0""",6,75,ST,"RM, LM, RW",Sweden,Left,73,74.3,67.1,63,64.3,47.8,71,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Szabó,Levente Szabó,26,Eintracht Braunschweig,110500,2. Bundesliga,20,"6'5""",6.4,89,ST,,Hungary,Right,68,57.8,64.8,55,62.5,70.7,83,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Robatsch,Jannik Robatsch,20,FC St. Pauli,110329,Bundesliga,19,"6'3""",6.23,78,CB,,Austria,Left,78,67.8,23.4,61,61.5,65.6,67.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Winther,Frederik Winther,24,Hammarby Fotboll,708,Allsvenskan,56,"6'3""",6.23,83,CB,,Denmark,Left,73,54,33.6,66,63,64.5,67.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Wright,Joseph Wright,30,Bradford City,1804,League One,60,"6'4""",6.33,82,CB,RB,Wales,Right,65,33.4,47.8,56,55,64.5,77,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Torales,Richard Torales,24,Guaraní,111329,División Profesional,337,"6'0""",5.97,75,ST,,Paraguay,Right,72,60.5,67.5,47,63.5,62.7,72,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
O. Touré,Ousmane Touré,20,Lille OSC,65,Ligue 1,16,"6'2""",6.14,75,CB,,France,Right,77,74.4,20.9,59,60.6,65.2,65.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Antoniou,Evagoras Antoniou,22,APOEL FC,100135,1. Division,318,"6'2""",6.14,82,CB,,Cyprus,Right,71,61.2,26.2,65,58.5,64.7,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Charrupí,Felix Charrupí,24,Atlético Bucaramanga,112992,Categoría Primera A,336,"6'0""",5.97,74,CAM,CM,Colombia,Right,72,67.5,59.2,66.2,65.6,28,51.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Delanghe,Maxime Delanghe,24,Cercle Brugge KSV,1750,Pro League,4,"6'3""",6.23,80,GK,,Belgium,Right,73,64,63,64,63.2,20.3,66,TRUE,DIV|HAN|KIC|REF|SPD|POS
Y. Lienard,Yann Lienard,22,AS Monaco,69,Ligue 1,16,"6'4""",6.36,80,GK,,France,Right,75,65,61,60,65.3,22.7,63,TRUE,DIV|HAN|KIC|REF|SPD|POS
M. Cox,Matthew Cox,22,Brentford,1925,Premier League,13,"6'0""",5.97,74,GK,,England,Right,77,67,63,65,60.9,29.7,65,TRUE,DIV|HAN|KIC|REF|SPD|POS
T. O'Connor,Thomas O'Connor,26,Peterborough United,1938,League One,60,"6'1""",6.1,77,CB,CDM,Republic of Ireland,Left,68,67.7,57.5,64,62.2,62.8,71.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Freeman,Alexander Freeman,20,Orlando City SC,112606,Major League Soccer,39,"6'2""",6.17,78,RB,,United States,Right,79,82.4,57.7,64.4,61.6,57.1,76,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Bulić,Rasim Bulić,24,MSV Duisburg,1825,3. Liga,2076,"6'5""",6.43,84,CB,"CDM, CM",Germany,Right,69,44.7,39.4,64,62.3,62.4,76.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Steffen,Niklas Steffen,24,FC Thun,1715,Super League,189,"6'2""",6.14,80,GK,,Switzerland,Right,71,69,62,64,63.9,30.3,60,TRUE,DIV|HAN|KIC|REF|SPD|POS
R. Mamla,Rafał Mamla,21,Korona Kielce,111083,Ekstraklasa,66,"6'5""",6.4,93,GK,,Poland,Right,73,65,66,67,62.6,25,61,TRUE,DIV|HAN|KIC|REF|SPD|POS
C. Neira,Cristian Neira,24,Cienciano,111011,Liga 1,2020,"5'6""",5.51,70,CAM,"RM, CM",Peru,Right,72,67.1,58.9,65.4,67,28,45,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Gilberto,Gilberto,21,Moreirense FC,1900,Primeira Liga,308,"6'2""",6.14,73,CB,RB,Guinea-Bissau,Right,75,62.1,39.9,65,56.2,64.8,68.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Bjarnason,Brynjar Bjarnason,25,SpVgg Greuther Fürth,165,2. Bundesliga,20,"6'4""",6.36,88,CB,,Iceland,Right,71,68.9,27.5,58,58.2,61,79.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
U. Yazğılı,Uğurcan Yazğılı,26,Konyaspor,101033,Süper Lig,68,"6'0""",6.04,79,CB,"CDM, RB, CM",Türkiye,Right,70,51.3,49,62,57.2,64.5,73.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Tsiftsis,Antonis Tsiftsis,25,PAOK,393,Super League,63,"6'3""",6.27,80,GK,,Greece,Right,70,68,61,64,62.9,37.7,63,TRUE,DIV|HAN|KIC|REF|SPD|POS
Alberto Flores,Alberto Flores,21,Sevilla FC,481,La Liga,53,"6'1""",6.1,80,GK,,Spain,Left,79,65,66,63,62,29.3,63,TRUE,DIV|HAN|KIC|REF|SPD|POS
J. Beesley,Jake Beesley,28,Burton Albion,15015,League One,60,"6'2""",6.17,76,ST,,England,Right,65,69.4,65.1,57,63,65.9,75,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. De Pieri,Giacomo De Pieri,18,SS Juve Stabia,112124,Serie B,32,"5'9""",5.71,75,RW,RM,Italy,Left,80,76.3,63.2,61.1,64.6,21,59.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Pereira,Kevin Pereira,21,Sportivo Luqueño,111006,División Profesional,337,"5'8""",5.64,80,LM,"RM, CAM, LW",Paraguay,Right,75,75.5,57.9,62.3,68.3,31.6,42.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Olabarrieta,Olabarrieta,19,FC Andorra,114554,La Liga 2,54,"5'11""",5.94,70,LM,"RM, LW",Spain,Left,80,55.9,63.3,63.7,67.7,36.2,55.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Kjerrumgaard,Luca Kjerrumgaard,22,Watford,1795,Championship,14,"6'5""",6.43,85,ST,,Denmark,Left,76,68.2,64,59,61.4,65.7,80.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Pedro Santos,Pedro Santos,22,Famalicão,112809,Primeira Liga,308,"5'10""",5.84,66,RM,RW,Portugal,Left,77,77.2,58,60.1,66.1,27.4,53.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Tesche,Robert Tesche,38,VfL Osnabrück,487,3. Liga,2076,"6'0""",5.97,78,CDM,CM,Germany,Right,65,34.2,69.7,64.2,63,63,66.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Hromada,Jakub Hromada,29,Rapid Bucuresti,310,Liga I,330,"5'11""",5.91,76,CDM,CM,Slovakia,Right,65,66.3,51.1,63,60.9,63.2,73.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Kocaba,Filip Kocaba,20,Zagłębie Lubin,110749,Ekstraklasa,66,"6'0""",6.04,78,CDM,CM,Poland,Right,73,62.1,52.6,62.9,62.3,62.6,69.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Singh,Manvir Singh,29,Mohun Bagan Super Giant,113146,Super League,2149,"6'2""",6.17,78,RM,"LM, RW",India,Right,65,77.3,64.2,62.6,60.2,41.9,69.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
H. Cayless,Hayden Cayless,33,Western United,114023,A-League Men,351,"6'0""",6.04,80,LB,LM,Australia,Left,65,72.7,36.3,60.2,62.1,59,83.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Olivieri,Marco Olivieri,26,Cesena FC,110915,Serie B,32,"5'10""",5.81,73,ST,,Italy,Right,66,74.5,65.7,65,64.5,55.8,68.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Kabangu,Elton Kabangu,27,Hearts,80,Premiership,50,"5'10""",5.84,70,ST,"LW, LM",Belgium,Left,66,75,65,61,63,59.9,65,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Alhassan,Baba Alhassan,25,FCSB,100761,Liga I,330,"6'2""",6.14,75,CM,"CDM, CB",Ghana,Right,69,80,61.8,62.9,66.1,64.5,80,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Hamill,Brendan Hamill,32,Melbourne Victory,111397,A-League Men,351,"6'1""",6.07,79,CB,,Australia,Right,65,34.9,37.6,58,56.6,65.2,73.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Carlos Hernández,Carlos Hernández,34,AD Ceuta FC,1894,La Liga 2,54,"6'1""",6.07,80,CB,,Spain,Right,65,33.1,45.5,54,49.5,64.2,78,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Watts,Kelland Watts,25,Cambridge United,1944,League Two,61,"6'4""",6.3,71,CB,,England,Left,68,55.7,45.7,61,61.1,63.4,74.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
